,kNN1,kNN2,kNN3,kNN4,NB1,NB2,AD1,AD2,AD3,AD4
accuracy,0.8902932754023897,0.8711365656166683,0.8952305717389157,0.8912807346696949,0.8935518909844969,0.8761726078799249,0.9443072973239854,0.9436160758368717,0.8917744643033475,0.9369013528191962
precision,0.816953316953317,0.6030729833546735,0.7176923076923077,0.735663082437276,0.6853477380148548,0.6625980819529207,0.8444588464031109,0.8415265200517464,0.7351638618246236,0.8056930693069307
recall,0.4087277197295636,0.578979717271051,0.5734480639213276,0.5046097111247695,0.6238475722188076,0.46711739397664415,0.800860479409957,0.7996312231100184,0.510141364474493,0.8002458512599877
f1,0.5448586644817698,0.5907808090310441,0.6375128117526477,0.5986146554866933,0.6531531531531531,0.547945205479452,0.8220820189274448,0.8200441222817524,0.6023222060957911,0.8029602220166513
