,AD var_smoothing = 1e-9 default,AD var_smoothing = 1e-9 normalized,AD var_smoothing = 1e-9 pca
accuracy,0.8935518909844969,0.8883183568677792,0.8761726078799249
precision,0.6853477380148548,0.6525215252152522,0.6625980819529207
recall,0.6238475722188076,0.652120467117394,0.46711739397664415
f1,0.6531531531531531,0.6523209345219797,0.547945205479452
