,accuracy,time
Gaussian,0.89355337138933,0.08710265159606934
BernoulliNB,0.7791039607630449,0.08756041526794434
Multinomial,0.6569565022299045,0.06529092788696289
Complement,0.6566603521805462,0.06318330764770508
