,kNN k = 9 default,kNN k = 11 normalized,kNN k = 9 pca
accuracy,0.8951318258121852,0.8902932754023897,0.8952305717389157
precision,0.7174749807544265,0.816953316953317,0.7176923076923077
recall,0.5728334357713584,0.4087277197295636,0.5734480639213276
f1,0.6370471633629528,0.5448586644817698,0.6375128117526477
