,AD max_depth = 7 default,AD max_depth = 7 normalized,AD max_depth = 7 pca
accuracy,0.9444060432507159,0.9440110595437938,0.9142885355979066
precision,0.8450064850843061,0.8414948453608248,0.7488524590163934
recall,0.800860479409957,0.8027043638598648,0.7019053472649047
f1,0.8223414326285895,0.8216420257942748,0.7246192893401016
